ScenarioID,Iteration,Timestep,TransitionGroupID,Amount
128,1,2005,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],21800
128,1,2005,Ag Contraction: Lodgepole Pine Group [Type],10700
128,1,2005,Ag Contraction: Longleaf/Slash Pine Group [Type],12300
128,1,2005,Ag Contraction: Maple/Beech/Birch Group [Type],11200
128,1,2005,Ag Contraction: Oak/Gum/Cypress Group [Type],12400
128,1,2005,Ag Contraction: Oak/Hickory Group [Type],22000
128,1,2005,Ag Contraction: Oak/Pine Group [Type],12100
128,1,2005,Ag Contraction: Other Western Hardwoods Group [Type],9200
128,1,2005,Ag Contraction: Other Western Softwood Group [Type],9400
128,1,2005,Ag Contraction: Pinyon/Juniper Group [Type],11100
128,1,2005,Ag Contraction: Ponderosa Pine Group [Type],11000
128,1,2005,Ag Contraction: Redwood Group [Type],9800
128,1,2005,Ag Contraction: Spruce/Fir Group [Type],8200
128,1,2005,Ag Contraction: Tanoak/Laurel Group [Type],9500
128,1,2005,Ag Contraction: Tropical Hardwoods Group [Type],9500
128,1,2005,Ag Contraction: Western Larch Group [Type],8700
128,1,2005,Ag Contraction: Western Oak Group [Type],8200
128,1,2005,Ag Contraction: Western White Pine Group [Type],11100
128,1,2005,Ag Contraction: White/Red/Jack Pine Group [Type],9200
128,1,2005,Ag Contraction: Grassland [Type],16900
128,1,2005,Ag Contraction: Shrubland [Type],14400
128,1,2005,Ag Contraction: Wetland Herbaceous [Type],11100
128,1,2005,Ag Contraction: Wetland Woody [Type],11000
128,1,2005,Ag Contraction: Cropland,351500
128,1,2005,Ag Contraction: Pasture,351500
128,1,2005,Succession Post Fire: Alder/Maple Group [Type],1100
128,1,2005,Succession Post Fire: Aspen/Birch Group [Type],1500
128,1,2005,Succession Post Fire: California Mixed Conifer Group [Type],1900
128,1,2005,Succession Post Fire: Douglas-fir Group [Type],3200
128,1,2005,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],1000
128,1,2005,Succession Post Fire: Exotic Hardwoods Group [Type],1400
128,1,2005,Succession Post Fire: Exotic Softwoods Group [Type],1100
128,1,2005,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],1500
128,1,2005,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],1000
128,1,2005,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],1200
128,1,2005,Succession Post Fire: Lodgepole Pine Group [Type],1900
128,1,2005,Succession Post Fire: Longleaf/Slash Pine Group [Type],1500
128,1,2005,Succession Post Fire: Maple/Beech/Birch Group [Type],1000
128,1,2005,Succession Post Fire: Oak/Gum/Cypress Group [Type],1100
128,1,2005,Succession Post Fire: Oak/Hickory Group [Type],1100
128,1,2005,Succession Post Fire: Oak/Pine Group [Type],1300
128,1,2005,Succession Post Fire: Other Western Hardwoods Group [Type],1300
128,1,2005,Succession Post Fire: Other Western Softwood Group [Type],1200
128,1,2005,Succession Post Fire: Pinyon/Juniper Group [Type],1600
128,1,2005,Succession Post Fire: Ponderosa Pine Group [Type],2200
128,1,2005,Succession Post Fire: Redwood Group [Type],1100
128,1,2005,Succession Post Fire: Spruce/Fir Group [Type],1300
128,1,2005,Succession Post Fire: Tanoak/Laurel Group [Type],1600
128,1,2005,Succession Post Fire: Tropical Hardwoods Group [Type],900
128,1,2005,Succession Post Fire: Western Larch Group [Type],700
128,1,2005,Succession Post Fire: Western Oak Group [Type],1700
128,1,2005,Succession Post Fire: Western White Pine Group [Type],1000
128,1,2005,Succession Post Fire: White/Red/Jack Pine Group [Type],1000
128,1,2005,Succession: Post Fire Recovery,38400
128,1,2006,Urbanization: Open [Type],89000
128,1,2006,Urbanization: Low [Type],62100
128,1,2006,Urbanization: Medium [Type],43200
